,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
13691,379890,2023-04-15 16:00:00,5,7,545,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,11135,2,7,26.0,1,False,30.506849315068493
13692,379890,2023-04-05 01:00:00,5,5,769,3.0,1,0,1,0,0,0,1,7,2,0.0,0.0,11125,1,8,31.0,1,True,30.47945205479452
13693,379890,2023-04-24 16:00:00,5,7,1001,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,11144,2,7,19.0,1,False,30.53150684931507
13694,379890,2023-04-14 16:00:00,5,7,545,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,11134,2,7,1.0,1,False,30.504109589041096
13706,793007,2023-01-03 13:30:00,8,6,713,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,8142,11,6,0.0,1,False,22.306849315068494
13711,793007,2023-01-07 13:30:00,8,6,2401,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,8146,11,6,1.0,1,False,22.317808219178083
13714,388802,2023-04-02 01:00:00,5,5,283,3.0,1,0,1,0,0,0,1,9,0,0.0,0.0,11322,3,8,27.0,1,True,31.019178082191782
13716,388802,2023-04-08 01:00:00,5,5,1653,3.0,1,0,1,0,0,0,1,9,0,0.0,0.0,11328,3,8,31.0,1,True,31.035616438356165
13717,388802,2023-04-24 16:00:00,5,7,1001,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,11344,1,7,0.0,1,False,31.07945205479452
13718,388802,2023-04-14 16:00:00,5,7,545,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,11334,1,7,20.0,1,False,31.052054794520547
13722,388802,2023-04-20 16:00:00,5,7,1001,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,11340,1,7,13.0,1,False,31.068493150684933
13723,388802,2023-04-15 16:00:00,5,7,545,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,11335,1,7,19.0,1,False,31.054794520547944
13724,388802,2023-04-05 01:00:00,5,5,769,3.0,1,0,1,0,0,0,1,9,0,0.0,0.0,11325,3,8,20.0,1,True,31.027397260273972
13726,962831,2023-04-02 01:00:00,5,5,283,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,9823,9,8,1.0,1,True,26.912328767123288
13729,962831,2023-04-15 16:00:00,5,7,545,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,9836,9,7,1.0,1,False,26.947945205479453
13768,475816,2023-06-15 11:00:00,26,26,700,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,10872,9,116,4.0,1,True,29.786301369863015
13804,24752,2023-06-21 11:00:00,26,26,700,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,15304,2,34,44.0,1,True,41.92876712328767
13805,24752,2023-06-19 06:30:00,26,26,700,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,15302,2,116,45.0,1,True,41.92328767123288
13806,24752,2023-06-13 11:00:00,26,26,700,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,15296,2,34,38.0,1,True,41.90684931506849
13807,24752,2023-06-11 06:30:00,26,26,700,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,15294,2,116,22.0,1,True,41.9013698630137
13808,24752,2023-06-09 06:30:00,26,26,700,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,15292,2,191,36.0,1,True,41.895890410958906
13820,1013201,2023-08-25 08:45:00,211,191,3439,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,14423,3,191,2.0,1,False,39.515068493150686
14031,291844,2023-06-21 11:00:00,26,26,700,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,12962,3,34,21.0,1,True,35.512328767123286
14032,291844,2023-06-14 11:00:00,26,26,700,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,12955,2,191,12.0,1,True,35.49315068493151
14033,291844,2023-06-13 11:00:00,26,26,700,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,12954,3,34,4.0,1,True,35.49041095890411
14034,291844,2023-06-11 06:30:00,26,26,700,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,12952,3,116,18.0,1,True,35.484931506849314
14040,291844,2023-06-15 11:00:00,26,26,700,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,12956,2,116,9.0,1,True,35.49589041095891
14091,990039,2023-07-14 12:00:00,25,25,1564,3.0,2,0,1,0,0,0,1,1,0,6.03,0.0,8076,10,40,4.0,1,True,22.126027397260273
14121,391832,2023-03-25 12:00:00,4,3,902,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,11325,9,3,4.0,1,False,31.027397260273972
14127,524049,2023-03-27 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,5,0,0.0,0.0,10984,6,7,0.0,1,False,30.09315068493151
14128,524049,2023-02-19 14:00:00,40,27,1965,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,10948,5,27,1.0,1,False,29.994520547945207
14129,524049,2023-02-16 14:00:00,40,27,1965,3.0,1,0,1,0,0,0,1,5,0,0.0,0.0,10945,6,27,16.0,1,False,29.986301369863014
14149,524049,2023-03-26 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,5,0,0.0,0.0,10983,4,7,23.0,1,False,30.09041095890411
14158,524049,2023-03-24 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,5,0,0.0,0.0,10981,6,7,17.0,1,False,30.084931506849315
14164,819429,2023-03-27 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,8403,11,7,21.0,1,False,23.02191780821918
14186,974175,2023-03-27 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,1,2,0.0,0.0,8221,12,7,1.0,1,False,22.523287671232875
14285,379143,2023-03-26 12:00:00,3,3,902,3.0,1,0,1,0,0,0,1,9,0,0.0,0.0,11056,1,4,100.0,1,True,30.29041095890411
14298,379143,2023-03-28 16:00:00,3,3,508,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,11058,1,4,21.0,1,True,30.295890410958904
14361,379145,2023-08-30 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,12246,11,2,0.0,1,True,33.55068493150685
14417,1158088,2023-04-17 16:00:00,7,7,545,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,7366,10,5,0.0,1,True,20.18082191780822
14492,1287084,2023-02-25 13:30:00,21,21,267,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,8004,6,183,5.0,1,True,21.92876712328767
14500,1287084,2023-02-26 18:00:00,21,21,325,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,8005,6,12,2.0,1,True,21.931506849315067
14503,1193269,2023-02-25 13:30:00,21,21,267,3.0,1,0,1,0,0,0,1,4,2,0.0,0.0,7757,5,183,4.0,1,True,21.252054794520546
14509,1193269,2023-02-22 13:00:00,21,21,325,3.0,1,0,1,0,0,0,1,4,2,0.0,0.0,7754,5,12,14.0,1,True,21.243835616438357
14511,1193269,2023-02-26 18:00:00,21,21,325,3.0,1,0,1,0,0,0,1,4,2,0.0,0.0,7758,5,12,10.0,1,True,21.254794520547946
14521,302675,2023-03-16 22:00:00,10,10,3451,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,11959,3,216,30.0,1,True,32.76438356164383
14528,961443,2023-03-16 22:00:00,10,10,3451,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,9299,5,216,17.0,1,True,25.476712328767125
14529,961443,2023-03-16 02:00:00,10,10,3450,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,9299,4,216,9.0,1,True,25.476712328767125
14536,961421,2023-03-16 22:00:00,10,10,3451,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,8822,9,216,6.0,1,True,24.16986301369863
14537,961421,2023-03-16 02:00:00,10,10,3450,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,8822,10,216,2.0,1,True,24.16986301369863
14545,401537,2023-03-11 05:40:00,19,19,2587,3.0,1,0,1,0,0,0,1,7,0,0.0,0.0,9954,4,16,0.0,1,True,27.27123287671233
14585,401540,2023-03-11 05:40:00,19,19,2587,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,10947,5,16,44.0,1,True,29.991780821917807
14636,919489,2023-03-11 05:40:00,19,19,2587,3.0,1,0,1,0,0,0,1,5,2,0.0,0.0,9431,7,16,23.0,1,True,25.838356164383562
14649,1172124,2023-03-11 01:30:00,108,0,2587,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,15117,7,38,20.0,1,False,41.416438356164385
14666,1172124,2023-03-09 01:30:00,108,0,2587,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,15115,2,16,8.0,1,False,41.41095890410959
14667,1172124,2023-03-08 05:40:00,108,19,2587,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15114,1,19,13.0,1,False,41.40821917808219
14682,300617,2023-03-09 09:00:00,25,25,1931,3.0,2,0,1,0,0,0,1,3,2,5.06,0.0,11838,2,1,21.0,1,True,32.43287671232877
14683,300617,2023-07-14 12:00:00,25,25,1564,3.0,2,0,1,0,0,0,1,3,2,5.06,0.0,11965,2,40,4.0,1,True,32.78082191780822
14684,300617,2023-03-12 09:00:00,25,25,2025,3.0,2,0,1,0,0,0,1,3,2,5.06,0.0,11841,2,1,9.0,1,True,32.441095890410956
14705,1143532,2023-03-09 01:30:00,108,0,2587,3.0,1,1,1,0,0,0,1,7,2,0.0,0.0,11498,1,16,0.0,1,False,31.5013698630137
14706,1143532,2023-03-08 05:40:00,108,19,2587,3.0,1,0,1,0,0,0,1,7,2,0.0,0.0,11497,2,19,8.0,1,False,31.4986301369863
14710,1143532,2023-03-11 01:30:00,108,0,2587,3.0,1,1,1,0,0,0,1,7,2,0.0,0.0,11500,2,38,5.0,1,False,31.506849315068493
14712,1344829,2023-03-09 01:30:00,108,0,2587,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,11754,9,16,9.0,1,False,32.202739726027396
14713,1344829,2023-03-08 05:40:00,108,19,2587,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11753,10,19,4.0,1,False,32.2
14723,1344829,2023-09-15 17:30:00,108,187,2927,3.0,3,0,1,0,9,0,1,8,2,0.0,0.0,11944,9,187,6.0,1,False,32.723287671232875
14736,233904,2023-03-11 05:40:00,19,19,2587,3.0,1,0,1,0,0,0,1,0,0,0.0,0.0,11785,2,16,13.0,1,True,32.28767123287671
