Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,ft.1,hn,bf,dk,times_not_out,hs,bta,btsr,country_id,target_value,target_id,is_home,current_age,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr,freq,target_value_binary,stratify_col
46386,311158,2018-07-14 10:00:00,1,1,10,2.0,1,0,1,0,0,0,1,0,15,0.0,0.0,9902.0,5,6,111,96.0,3207.0,263.0,98.0,22.0,22.0,4.0,3369.0,7.0,15.0,182.0,39.59,95.19,1,0.0,2,True,27.12876712328767,21,18.0,522.0,36.0,24.0,5.0,0.0,513.0,2.0,2.0,99.0,32.62,101.75,64,53.0,2002.0,173.0,56.0,12.0,3.0,2087.0,1.0,9.0,182.0,45.5,95.92,52.0,52.0,1995.0,171.0,52.0,13.0,3.0,2159.0,2.0,11.0,102.0,48.65,92.4,17856,0,311158_2
36963,38699,2009-09-08 09:00:00,5,8,1004,2.0,2,0,1,0,0,0,1,5,16,0.0,0.0,9315.0,4,8,236,220.0,8607.0,713.0,147.0,51.0,51.0,21.0,10330.0,9.0,39.0,181.0,47.55,83.32,8,2.0,1,False,25.52054794520548,34,29.0,881.0,69.0,17.0,5.0,2.0,1086.0,5.0,3.0,137.0,33.88,81.12,12,10.0,384.0,31.0,10.0,2.0,1.0,454.0,0.0,1.0,131.0,42.66,84.58,182.0,182.0,7690.0,623.0,127.0,46.0,19.0,9224.0,5.0,32.0,181.0,51.26,83.36,3828,0,38699_1
3996,299572,2022-08-07 07:15:00,9,9,260,2.0,1,0,1,0,0,0,1,4,16,0.0,0.0,13254.0,5,25,136,129.0,4089.0,338.0,102.0,21.0,21.0,7.0,4727.0,3.0,20.0,141.0,37.51,86.5,9,4.0,6,True,36.31232876712329,22,22.0,819.0,63.0,22.0,4.0,2.0,999.0,1.0,2.0,135.0,40.95,81.98,77,72.0,2535.0,207.0,58.0,11.0,6.0,2962.0,3.0,12.0,141.0,42.25,85.58,46.0,46.0,1789.0,137.0,50.0,8.0,5.0,2078.0,2.0,10.0,135.0,49.69,86.09,1444,0,299572_6
47134,49758,2011-08-16 09:00:00,8,8,2502,2.0,2,0,1,0,0,0,1,1,14,0.0,0.0,10215.0,10,2,226,119.0,567.0,45.0,21.0,1.0,1.0,0.0,761.0,26.0,36.0,56.0,6.83,74.5,8,5.0,2,True,27.98630136986301,28,18.0,92.0,8.0,3.0,1.0,0.0,137.0,3.0,4.0,56.0,6.57,67.15,92,41.0,164.0,12.0,8.0,0.0,0.0,195.0,12.0,20.0,19.0,7.8,84.1,59.0,59.0,311.0,27.0,12.0,1.0,0.0,384.0,15.0,14.0,56.0,6.91,80.98,1048,0,49758_2
24012,42321,2013-01-06 06:30:00,7,6,333,2.0,2,0,1,0,0,0,1,6,6,0.0,0.0,8432.0,1,6,48,48.0,1418.0,150.0,19.0,8.0,8.0,3.0,1881.0,5.0,3.0,112.0,31.51,75.38,6,5.0,4,False,23.101369863013694,6,6.0,408.0,41.0,4.0,1.0,3.0,476.0,0.0,2.0,112.0,102.0,85.71,3,3.0,241.0,22.0,3.0,0.0,2.0,320.0,0.0,1.0,106.0,120.5,75.31,24.0,24.0,456.0,42.0,7.0,1.0,1.0,728.0,4.0,0.0,106.0,19.0,62.63,1048,0,42321_4
37632,4578,2014-01-17 03:20:00,2,2,209,2.0,2,0,1,0,0,0,1,5,16,1.78,0.0,11978.0,4,1,245,223.0,7981.0,665.0,53.0,58.0,58.0,8.0,10104.0,10.0,44.0,130.0,44.58,78.98,2,17.0,1,True,32.81643835616438,44,39.0,1430.0,116.0,5.0,11.0,1.0,1893.0,1.0,6.0,105.0,43.33,75.54,107,101.0,3358.0,260.0,21.0,23.0,2.0,4204.0,4.0,14.0,117.0,38.59,79.87,111.0,111.0,4223.0,334.0,27.0,32.0,5.0,5490.0,4.0,20.0,130.0,46.4,76.92,217,0,4578_1
32500,1115033,2022-09-20 00:00:00,20,20,2623,2.0,1,0,1,0,0,0,1,9,6,0.0,0.0,8402.0,7,28,15,12.0,90.0,6.0,0.0,0.0,0.0,0.0,173.0,0.0,3.0,25.0,10.0,52.02,20,2.0,1,True,23.019178082191782,3,3.0,27.0,2.0,0.0,0.0,0.0,81.0,0.0,0.0,24.0,9.0,33.33,4,4.0,12.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,8.0,3.0,29.26,2.0,2.0,3.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,2.0,1.5,11.53,3828,0,1115033_1
47084,516561,2017-03-15 04:00:00,40,0,3203,2.0,1,1,1,0,0,0,1,1,15,0.0,0.0,10588.0,9,29,82,56.0,513.0,40.0,21.0,0.0,0.0,0.0,664.0,7.0,27.0,47.0,17.68,77.25,6,4.0,2,False,29.008219178082197,19,14.0,142.0,10.0,4.0,0.0,0.0,176.0,1.0,8.0,41.0,23.66,80.68,7,5.0,61.0,3.0,2.0,0.0,0.0,77.0,0.0,4.0,41.0,61.0,79.22,27.0,27.0,252.0,20.0,9.0,0.0,0.0,348.0,4.0,9.0,40.0,14.0,72.41,1444,0,516561_2
2880,55412,2013-02-22 13:30:00,9,4,1131,2.0,1,0,1,0,0,0,1,5,6,0.0,0.0,10049.0,5,4,116,112.0,3294.0,324.0,38.0,19.0,19.0,4.0,4325.0,9.0,13.0,130.0,33.27,76.16,4,1.0,6,False,27.53150684931507,7,7.0,333.0,32.0,5.0,3.0,0.0,389.0,0.0,0.0,92.0,47.57,85.6,2,2.0,121.0,10.0,4.0,1.0,0.0,136.0,0.0,0.0,80.0,60.5,88.97,17.0,17.0,505.0,52.0,8.0,5.0,0.0,651.0,1.0,2.0,80.0,33.66,77.57,7055,0,55412_6
44709,553821,2020-01-08 06:00:00,28,37,3389,2.0,1,0,1,0,0,0,1,2,8,0.0,0.0,8825.0,6,37,29,26.0,651.0,34.0,31.0,2.0,2.0,0.0,773.0,1.0,3.0,94.0,28.3,84.21,37,5.0,2,False,24.17808219178082,7,7.0,294.0,16.0,14.0,2.0,0.0,301.0,0.0,1.0,94.0,49.0,97.67,3,3.0,63.0,2.0,2.0,0.0,0.0,108.0,0.0,0.0,31.0,21.0,58.33,13.0,13.0,392.0,20.0,17.0,1.0,0.0,444.0,0.0,1.0,94.0,32.66,88.28,1048,0,553821_2
