,Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
22535,964,550215,2021-10-30 10:00:00,3,0,848,3.0,1,1,1,0,0,0,1,1,0,0.0,0.0,9655,8,8,13.0,1,False,26.45205479452055
22536,967,550215,2019-03-19 16:00:00,3,3,174,3.0,3,0,1,0,0,0,1,1,0,0.0,0.0,8699,8,8,0.0,1,True,23.832876712328765
22537,969,550215,2022-11-06 00:00:00,3,0,131,3.0,1,1,1,0,0,0,1,1,0,0.0,0.0,10027,9,15,9.0,1,False,27.471232876712328
22538,973,550215,2022-06-12 13:30:00,3,6,442,3.0,3,0,1,0,0,0,1,1,0,0.0,0.0,9880,8,6,0.0,1,False,27.068493150684933
22539,995,267724,2022-07-27 17:30:00,3,1,176,3.0,2,0,1,0,0,0,1,1,2,0.0,0.0,11858,9,1,4.0,1,False,32.487671232876714
22540,996,267724,2022-06-14 13:30:00,3,6,1896,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,11815,9,6,11.0,1,False,32.36986301369863
22541,999,267724,2022-11-06 00:00:00,3,0,131,3.0,1,1,1,0,0,0,1,1,2,0.0,0.0,11960,8,15,13.0,1,False,32.76712328767123
22542,1003,267724,2022-06-17 13:30:00,3,6,2401,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,11818,8,6,0.0,1,False,32.37808219178082
23068,2438,1072470,2021-07-18 13:30:00,7,1,179,3.0,1,0,1,0,0,0,1,1,0,0.0,0.0,7773,9,1,2.0,1,False,21.295890410958904
23069,2448,1072470,2022-10-27 11:00:00,7,0,3404,3.0,3,1,1,0,0,0,1,1,0,0.0,0.0,8239,9,9,1.0,1,False,22.572602739726022
23070,2478,681305,2021-02-14 13:00:00,7,7,545,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,9724,8,3,20.0,1,True,26.64109589041096
23071,2492,681305,2017-10-27 16:00:00,7,0,1965,3.0,3,1,1,0,0,0,1,1,2,0.0,0.0,8518,10,8,3.0,1,False,23.336986301369866
23072,2506,681305,2021-04-16 12:30:00,7,3,902,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,9785,9,3,2.0,1,False,26.80821917808219
23073,2507,681305,2021-04-10 12:30:00,7,3,508,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,9779,8,3,9.0,1,False,26.791780821917808
23074,2508,681305,2019-02-01 16:00:00,7,3,174,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,8980,9,3,11.0,1,False,24.6027397260274
23075,2513,681305,2019-02-03 12:30:00,7,3,508,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,8982,7,3,1.0,1,False,24.60821917808219
23076,2524,1161606,2022-09-23 14:30:00,7,7,487,3.0,3,0,1,0,0,0,1,1,2,5.11,0.0,10547,9,1,4.0,1,True,28.895890410958906
23077,2525,1161606,2022-09-07 14:00:00,7,0,848,3.0,3,1,1,0,0,0,1,1,2,5.11,0.0,10531,9,40,0.0,1,False,28.852054794520548
