Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age,freq,target_value_binary,stratify_col
6595,236489,2019-11-03 01:00:00,1,5,1166,3.0,1,0,1,0,0,0,1,7,0,6.0,0.0,11749,2,5,39.0,1,False,32.18904109589041,75,1,236489_1
4121,568447,2021-04-22 07:30:00,16,32,1939,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,8977,11,32,2.0,1,False,24.594520547945205,4001,0,568447_1
5726,625960,2021-03-05 06:00:00,5,5,1166,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,9562,9,2,30.0,1,True,26.197260273972603,73,1,625960_1
21928,436757,2020-02-26 16:00:00,3,3,174,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,10438,4,2,22.0,1,True,28.5972602739726,175,1,436757_1
4408,307639,2020-03-03 02:30:00,16,0,2585,3.0,1,1,1,0,0,0,1,3,2,0.0,0.0,11708,4,23,25.0,1,False,32.07671232876712,130,1,307639_1
10925,552152,2021-10-28 10:00:00,8,0,2439,3.0,1,1,1,0,0,0,1,1,10,6.0,0.0,10883,9,2,0.0,2,False,29.816438356164383,16534,0,552152_2
1930,1233042,2021-07-10 07:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15612,8,42,11.0,1,True,42.772602739726025,282,0,1233042_1
17403,1093669,2022-12-18 01:30:00,187,0,3413,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,15295,5,108,2.0,4,False,41.9041095890411,4001,0,1093669_4
11469,670013,2021-03-07 22:00:00,4,4,1675,3.0,3,0,1,0,0,0,1,2,2,0.0,0.0,9436,9,8,21.0,1,True,25.852054794520548,148,1,670013_1
16159,219889,2013-08-31 13:30:00,2,1,1039,3.0,1,0,1,0,0,0,1,6,0,1.7,0.0,9805,1,1,53.0,1,False,26.863013698630137,32,1,219889_1
6633,296167,2022-11-05 11:00:00,211,211,2076,3.0,1,0,1,0,0,0,1,7,2,0.0,0.0,13057,2,191,28.0,1,True,35.772602739726025,123,1,296167_1
25054,24249,2014-02-19 19:00:00,29,4,200,3.0,1,0,1,0,0,0,1,7,0,5.1,0.0,12934,3,4,40.0,1,False,35.43561643835616,64,1,24249_1
17560,1158100,2021-04-23 09:00:00,7,9,260,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,7688,10,9,0.0,4,False,21.063013698630137,16534,0,1158100_4
15643,1104703,2022-07-17 11:30:00,15,9,261,3.0,1,0,1,0,0,0,1,1,2,0.0,0.0,10838,9,9,0.0,1,False,29.693150684931503,16534,0,1104703_1
8125,833087,2022-08-02 11:00:00,25,9,260,3.0,1,0,1,0,0,0,1,0,2,5.06,0.0,10095,8,9,22.0,1,False,27.65753424657534,175,1,833087_1
10813,1062334,2022-11-20 12:00:00,17,37,3389,3.0,2,0,1,0,0,0,1,3,2,0.0,0.0,8599,2,37,0.0,4,False,23.55890410958904,16534,0,1062334_4
