player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,days_extended,actual_days,position_id,style_id,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,hn,bf,dk,times_not_out,hs,bta,btsr,team1_id,team2_id,is_home,followon,current_age,rain_rule,country_id,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr,target_id
547749,11/9/23 8:30,5,0,683,2,2,0,1,0,1,7,16,11309,15,8,27,27,991,102,20,7,2,1157,3,3,120,41.29,85.65,5,8,FALSE,0,30.98356164,0,6,2,2,112,13,1,1,0,141,0,1,86,112,79.43,5,5,173,18,6,2,0,209,1,0,70,34.6,82.77,,,,,,,,,,,,,,1
629074,11/9/23 8:30,8,0,683,2,2,0,1,0,1,9,16,10507,1,5,118,115,3483,346,61,26,3,4018,14,9,122,32.85,86.68,5,8,FALSE,0,28.78630137,0,6,6,6,38,4,0,0,0,73,4,0,20,6.33,52.05,9,9,306,29,15,1,1,256,1,0,122,34,119.53,1,1,0,0,0,0,0,2,1,0,0,0,0,1
784367,11/9/23 8:30,8,0,683,2,2,0,1,0,1,4,6,9629,2,5,47,41,1443,116,28,10,1,1626,2,5,110,40.08,88.74,5,8,FALSE,0,26.38082192,0,6,2,2,18,4,0,0,0,33,0,0,9,9,54.54,9,8,210,16,6,1,0,254,0,0,79,26.25,82.67,,,,,,,,,,,,,,1
552152,11/9/23 8:30,8,0,683,2,2,0,1,0,1,1,16,11625,3,5,45,30,225,16,3,0,0,356,2,11,29,11.84,63.2,5,8,FALSE,0,31.84931507,0,6,7,4,23,2,0,0,0,50,1,1,13,7.66,46,1,1,1,0,0,0,0,4,0,0,1,1,25,,,,,,,,,,,,,,1
465793,11/9/23 8:30,8,0,683,2,2,0,1,0,1,0,16,11752,4,5,88,80,1812,180,15,10,0,2313,4,10,93,25.88,78.33,5,8,FALSE,0,32.19726027,0,6,3,3,53,8,1,0,0,63,0,0,36,17.66,84.12,8,7,134,16,2,0,0,165,1,0,47,19.14,81.21,16,16,377,40,1,2,0,481,2,0,91,23.56,78.37,1
721041,11/9/23 8:30,8,0,683,2,2,0,1,0,1,0,16,10761,5,5,4,3,39,3,1,0,0,38,0,2,22,39,102.63,5,8,FALSE,0,29.48219178,0,6,,,,,,,,,,,,,,1,1,4,1,0,0,0,3,0,1,4,,133.33,,,,,,,,,,,,,,1
623695,11/9/23 8:30,8,0,683,2,2,0,1,0,1,2,16,10025,6,5,25,23,445,31,8,1,0,558,0,6,75,26.17,79.74,5,8,FALSE,0,27.46575342,0,6,2,2,35,4,0,0,0,66,0,0,24,17.5,53.03,5,4,34,5,0,0,0,63,0,0,17,8.5,53.96,,,,,,,,,,,,,,1
227772,11/9/23 8:30,8,0,683,2,2,0,1,0,1,6,6,12985,7,5,49,45,1316,131,1,11,1,1653,3,4,103,32.09,79.61,5,8,FALSE,0,35.57534247,0,6,11,9,139,10,0,1,0,223,1,1,52,17.37,62.33,1,1,15,1,0,0,0,21,0,0,15,15,71.42,,,,,,,,,,,,,,1
793007,11/9/23 8:30,8,0,683,2,2,0,1,0,1,1,16,8452,8,5,12,6,9,2,0,0,0,19,0,6,4,,47.36,5,8,FALSE,0,23.15616438,0,6,1,1,4,1,0,0,0,2,0,1,4,,200,7,3,4,1,0,0,0,12,0,3,4,,33.33,,,,,,,,,,,,,,1
49764,11/9/23 8:30,8,0,683,2,2,0,1,0,1,0,16,13309,9,5,223,192,5888,465,90,40,3,7084,16,48,139,40.88,83.11,5,8,FALSE,0,36.4630137,0,6,27,22,484,49,3,4,0,605,7,7,95,32.26,80,13,12,631,56,16,2,2,652,0,6,139,105.16,96.77,,,,,,,,,,,,,,1
1028655,11/9/23 8:30,8,0,683,2,2,0,1,0,1,7,16,9306,10,5,46,46,1685,212,9,13,3,1995,3,4,137,40.11,84.46,5,8,FALSE,0,25.49589041,0,6,2,2,66,10,1,1,0,74,0,0,57,33,89.18,7,7,361,47,3,5,0,406,1,1,77,60.16,88.91,,,,,,,,,,,,,,1
300631,11/9/23 8:30,8,0,683,2,2,0,1,0,1,9,6,12137,11,5,114,109,3182,352,50,16,6,3452,12,5,135,30.59,92.17,5,8,FALSE,0,33.25205479,0,6,5,5,178,22,2,0,1,183,1,0,102,35.6,97.26,8,8,98,16,0,1,0,129,3,0,78,12.25,75.96,,,,,,,,,,,,,,1
499594,11/9/23 8:30,8,0,683,2,2,0,1,0,1,1,16,11118,12,5,32,17,103,12,1,0,0,165,3,7,33,10.3,62.42,5,8,FALSE,0,30.46027397,0,6,2,2,14,1,0,0,0,41,0,0,9,7,34.14,7,5,77,9,1,0,0,97,0,3,33,38.5,79.38,,,,,,,,,,,,,,1
629076,11/9/23 8:30,8,0,683,2,2,0,1,0,1,9,16,10298,13,5,29,26,946,96,6,7,1,998,3,3,108,41.13,94.78,5,8,FALSE,0,28.21369863,0,6,,,,,,,,,,,,,,7,7,373,37,4,2,1,374,0,2,108,74.6,99.73,,,,,,,,,,,,,,1
1138316,11/9/23 8:30,8,0,683,2,2,0,1,0,1,1,16,8500,14,5,32,17,149,8,2,0,0,252,4,6,29,13.54,59.12,5,8,FALSE,0,23.28767123,0,6,,,,,,,,,,,,,,5,3,29,3,1,0,0,40,2,0,29,9.66,72.5,,,,,,,,,,,,,,1
1152427,11/9/23 8:30,8,0,683,2,2,0,1,0,1,1,6,7609,15,5,18,15,207,16,5,0,0,269,3,3,42,17.25,76.95,5,8,FALSE,0,20.84657534,0,6,,,,,,,,,,,,,,6,6,47,4,1,0,0,66,2,0,32,7.83,71.21,,,,,,,,,,,,,,1
