Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,ft.1,hn,bf,dk,times_not_out,hs,bta,btsr,country_id,target_value,target_id,is_home,current_age,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr,freq,target_value_binary,stratify_col
39125,50710,2006-07-01 09:45:00,8,1,179,2.0,1,0,1,0,0,0,1,9,6,0.0,0.0,10474.0,4,1,404,380.0,14234.0,1385.0,88.0,93.0,93.0,25.0,18048.0,15.0,41.0,169.0,41.98,78.86,1,23.0,1,False,28.695890410958903,44,41.0,1625.0,152.0,5.0,11.0,4.0,2075.0,0.0,7.0,134.0,47.79,78.31,25,25.0,976.0,102.0,2.0,7.0,2.0,1225.0,0.0,5.0,134.0,48.8,79.67,69.0,69.0,2487.0,225.0,12.0,21.0,3.0,3189.0,2.0,9.0,110.0,41.45,77.98,75,1,50710_1
28567,234675,2012-02-08 04:20:00,6,0,213,2.0,2,1,1,0,0,0,1,0,6,0.0,0.0,8464.0,7,8,192,129.0,2683.0,195.0,52.0,13.0,13.0,0.0,3179.0,6.0,46.0,87.0,32.32,84.39,2,24.0,1,False,23.18904109589041,30,18.0,348.0,18.0,6.0,1.0,0.0,443.0,2.0,9.0,60.0,38.66,78.55,27,21.0,331.0,20.0,6.0,1.0,0.0,365.0,0.0,6.0,66.0,22.06,90.68,96.0,96.0,1936.0,149.0,33.0,8.0,0.0,2350.0,5.0,34.0,87.0,31.22,82.38,86,1,234675_1
39156,50710,2010-08-19 09:00:00,8,8,1434,2.0,2,0,1,0,0,0,2,9,6,0.0,0.0,11984.0,3,5,404,380.0,14234.0,1385.0,88.0,93.0,93.0,25.0,18048.0,15.0,41.0,169.0,41.98,78.86,8,40.0,1,True,32.83287671232877,47,45.0,1568.0,170.0,15.0,12.0,2.0,1990.0,3.0,6.0,113.0,40.2,78.79,142,129.0,4724.0,447.0,29.0,33.0,4.0,6118.0,3.0,13.0,169.0,40.72,77.21,238.0,238.0,9747.0,954.0,70.0,66.0,18.0,12108.0,11.0,20.0,169.0,44.71,80.5,44,1,50710_1
35668,55608,2017-07-08 04:15:00,9,8,2502,2.0,1,0,1,0,1,0,1,7,16,0.0,0.0,12387.0,1,8,209,208.0,5658.0,585.0,86.0,34.0,34.0,5.0,7728.0,15.0,4.0,178.0,27.73,73.21,8,28.0,1,False,33.93698630136986,18,18.0,596.0,75.0,5.0,4.0,1.0,768.0,0.0,0.0,111.0,33.11,77.6,5,5.0,258.0,37.0,2.0,1.0,1.0,290.0,0.0,0.0,111.0,51.6,88.96,87.0,87.0,2702.0,328.0,42.0,17.0,3.0,3403.0,7.0,2.0,178.0,31.78,79.4,76,1,55608_1
35710,24598,2019-06-21 09:30:00,1,1,179,2.0,1,0,1,0,0,0,1,5,6,5.09,0.0,11972.0,4,8,248,230.0,7701.0,654.0,220.0,47.0,47.0,14.0,8447.0,18.0,34.0,148.0,39.29,91.16,1,21.0,1,True,32.8,35,30.0,854.0,77.0,16.0,8.0,0.0,960.0,2.0,5.0,92.0,34.16,88.95,124,111.0,4067.0,351.0,116.0,28.0,6.0,4186.0,5.0,20.0,148.0,44.69,97.15,83.0,83.0,3396.0,301.0,113.0,23.0,7.0,3464.0,5.0,10.0,148.0,46.52,98.03,81,1,24598_1
36795,9062,2007-08-30 13:30:00,1,1,75,2.0,2,0,1,0,0,0,1,7,16,5.1,0.0,9272.0,3,6,161,157.0,5416.0,525.0,32.0,35.0,35.0,4.0,7019.0,6.0,14.0,141.0,37.87,77.16,1,24.0,1,True,25.4027397260274,31,31.0,1163.0,119.0,9.0,6.0,2.0,1362.0,0.0,4.0,126.0,43.07,85.38,70,68.0,2548.0,244.0,18.0,16.0,2.0,3233.0,1.0,8.0,126.0,42.46,78.81,51.0,51.0,1724.0,161.0,7.0,10.0,1.0,2325.0,2.0,3.0,126.0,35.91,74.15,86,1,9062_1
29572,56029,2011-10-13 07:30:00,25,25,2025,2.0,2,0,1,0,0,0,1,9,16,0.0,0.0,8923.0,6,4,263,246.0,7577.0,597.0,98.0,48.0,48.0,9.0,9519.0,11.0,40.0,144.0,36.78,79.59,25,21.0,1,True,24.446575342465756,29,29.0,972.0,77.0,15.0,8.0,0.0,1261.0,1.0,8.0,79.0,46.28,77.08,132,123.0,3802.0,295.0,56.0,23.0,5.0,4673.0,3.0,24.0,125.0,38.4,81.36,65.0,65.0,1905.0,156.0,31.0,13.0,1.0,2261.0,1.0,14.0,100.0,37.35,84.25,81,1,56029_1
35433,24611,2017-05-21 09:45:00,29,29,974,2.0,1,0,1,0,0,0,1,3,6,0.0,0.0,11945.0,3,5,148,145.0,4343.0,455.0,32.0,20.0,20.0,11.0,6298.0,12.0,3.0,139.0,30.58,68.95,29,48.0,1,True,32.726027397260275,3,3.0,71.0,7.0,1.0,0.0,0.0,88.0,0.0,0.0,48.0,23.66,80.68,57,56.0,1538.0,173.0,13.0,10.0,2.0,2295.0,2.0,0.0,112.0,27.46,67.01,14.0,14.0,484.0,51.0,3.0,2.0,1.0,601.0,0.0,0.0,119.0,34.57,80.53,36,1,24611_1
39179,50710,2011-07-09 09:45:00,8,1,75,2.0,1,0,1,0,0,0,1,9,6,0.0,0.0,12308.0,3,1,404,380.0,14234.0,1385.0,88.0,93.0,93.0,25.0,18048.0,15.0,41.0,169.0,41.98,78.86,1,48.0,1,False,33.72054794520548,44,41.0,1625.0,152.0,5.0,11.0,4.0,2075.0,0.0,7.0,134.0,47.79,78.31,25,25.0,976.0,102.0,2.0,7.0,2.0,1225.0,0.0,5.0,134.0,48.8,79.67,238.0,238.0,9747.0,954.0,70.0,66.0,18.0,12108.0,11.0,20.0,169.0,44.71,80.5,36,1,50710_1
33747,5334,2015-09-08 13:00:00,2,1,75,2.0,2,0,1,0,0,0,1,7,16,1.74,0.0,10522.0,2,1,146,142.0,5406.0,532.0,129.0,30.0,30.0,17.0,6162.0,16.0,3.0,153.0,38.89,87.73,1,53.0,1,False,28.827397260273973,30,29.0,1354.0,138.0,25.0,5.0,7.0,1464.0,5.0,1.0,135.0,48.35,92.48,28,27.0,1073.0,113.0,27.0,7.0,3.0,1144.0,3.0,1.0,153.0,41.26,93.79,92.0,92.0,3326.0,337.0,77.0,18.0,10.0,3768.0,11.0,3.0,153.0,37.37,88.26,35,1,5334_1
