,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,ft,hn,bf,dk,times_not_out,hs,bta,btsr,country_id,target_value,target_id,is_home,current_age,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr
59,961407,2023-06-25 07:00:00,29,0,261,2.0,1,1,1,0,0,0,1,5,16,0.0,0.0,8602.0,4,8,40,37.0,1552.0,121.0,40.0,11.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34,9,1.0,6,False,23.567123287671233,1,1.0,33.0,3.0,1.0,0.0,0.0,35.0,0.0,0.0,33.0,33.0,94.28,9,8.0,409.0,33.0,9.0,4.0,1.0,434.0,0.0,1.0,101.0,58.42,94.23,37.0,37.0,1552.0,121.0,40.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34
63,961407,2023-05-09 09:45:00,29,0,318,2.0,1,1,1,0,0,0,1,5,16,0.0,0.0,8555.0,4,25,40,37.0,1552.0,121.0,40.0,11.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34,1,0.0,6,False,23.438356164383563,6,5.0,209.0,13.0,12.0,0.0,1.0,209.0,1.0,1.0,140.0,52.25,100.0,8,7.0,302.0,23.0,12.0,0.0,1.0,328.0,1.0,2.0,140.0,60.4,92.07,37.0,37.0,1552.0,121.0,40.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34
64,961407,2023-07-04 07:00:00,29,0,1904,2.0,1,1,1,0,0,0,1,5,16,0.0,0.0,8611.0,4,32,40,37.0,1552.0,121.0,40.0,11.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34,9,2.0,6,False,23.59178082191781,1,1.0,60.0,4.0,2.0,1.0,0.0,76.0,0.0,0.0,60.0,60.0,78.94,9,8.0,409.0,33.0,9.0,4.0,1.0,434.0,0.0,1.0,101.0,58.42,94.23,37.0,37.0,1552.0,121.0,40.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34
67,961407,2023-05-14 09:45:00,29,0,318,2.0,1,1,1,0,0,0,1,5,16,0.0,0.0,8560.0,4,25,40,37.0,1552.0,121.0,40.0,11.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34,1,2.0,6,False,23.45205479452055,6,5.0,209.0,13.0,12.0,0.0,1.0,209.0,1.0,1.0,140.0,52.25,100.0,8,7.0,302.0,23.0,12.0,0.0,1.0,328.0,1.0,2.0,140.0,60.4,92.07,37.0,37.0,1552.0,121.0,40.0,11.0,4.0,1840.0,3.0,6.0,140.0,50.06,84.34
71,928057,2023-09-23 10:00:00,29,1,34,2.0,1,0,1,0,0,0,1,9,16,0.0,0.0,9874.0,5,1,46,38.0,696.0,59.0,10.0,3.0,3.0,0.0,889.0,3.0,4.0,83.0,20.47,78.29,1,0.0,6,False,27.052054794520547,6,4.0,39.0,4.0,0.0,0.0,0.0,56.0,1.0,0.0,21.0,9.75,69.64,8,6.0,100.0,10.0,1.0,1.0,0.0,119.0,1.0,1.0,50.0,20.0,84.03,15.0,15.0,270.0,30.0,3.0,1.0,0.0,327.0,1.0,2.0,50.0,20.76,82.56
72,928057,2023-06-30 07:00:00,29,0,1904,2.0,1,1,1,0,0,0,1,9,16,0.0,0.0,9789.0,5,11,46,38.0,696.0,59.0,10.0,3.0,3.0,0.0,889.0,3.0,4.0,83.0,20.47,78.29,9,0.0,6,False,26.81917808219178,1,1.0,25.0,5.0,0.0,0.0,0.0,19.0,0.0,0.0,25.0,25.0,131.57,9,8.0,123.0,17.0,1.0,0.0,0.0,118.0,1.0,2.0,26.0,20.5,104.23,15.0,15.0,270.0,30.0,3.0,1.0,0.0,327.0,1.0,2.0,50.0,20.76,82.56
73,928057,2023-03-18 08:00:00,29,25,1564,2.0,2,0,1,0,0,0,1,9,16,0.0,0.0,9685.0,5,25,46,38.0,696.0,59.0,10.0,3.0,3.0,0.0,889.0,3.0,4.0,83.0,20.47,78.29,25,0.0,6,False,26.534246575342465,6,5.0,102.0,11.0,1.0,1.0,0.0,107.0,0.0,1.0,50.0,25.5,95.32,3,2.0,34.0,4.0,0.0,0.0,0.0,39.0,0.0,0.0,28.0,17.0,87.17,15.0,15.0,270.0,30.0,3.0,1.0,0.0,327.0,1.0,2.0,50.0,20.76,82.56
78,928057,2023-06-25 07:00:00,29,0,261,2.0,1,1,1,0,0,0,1,9,16,0.0,0.0,9784.0,5,8,46,38.0,696.0,59.0,10.0,3.0,3.0,0.0,889.0,3.0,4.0,83.0,20.47,78.29,9,0.0,6,False,26.805479452054794,1,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,9,8.0,123.0,17.0,1.0,0.0,0.0,118.0,1.0,2.0,26.0,20.5,104.23,15.0,15.0,270.0,30.0,3.0,1.0,0.0,327.0,1.0,2.0,50.0,20.76,82.56
80,928057,2023-05-09 09:45:00,29,0,318,2.0,1,1,1,0,0,0,1,9,16,0.0,0.0,9737.0,5,25,46,38.0,696.0,59.0,10.0,3.0,3.0,0.0,889.0,3.0,4.0,83.0,20.47,78.29,1,0.0,6,False,26.676712328767124,6,5.0,102.0,11.0,1.0,1.0,0.0,107.0,0.0,1.0,50.0,25.5,95.32,8,6.0,100.0,10.0,1.0,1.0,0.0,119.0,1.0,1.0,50.0,20.0,84.03,15.0,15.0,270.0,30.0,3.0,1.0,0.0,327.0,1.0,2.0,50.0,20.76,82.56
82,928057,2023-07-04 07:00:00,29,0,1904,2.0,1,1,1,0,0,0,1,9,16,0.0,0.0,9793.0,5,32,46,38.0,696.0,59.0,10.0,3.0,3.0,0.0,889.0,3.0,4.0,83.0,20.47,78.29,9,1.0,6,False,26.83013698630137,1,1.0,24.0,2.0,1.0,0.0,0.0,22.0,0.0,0.0,24.0,24.0,109.09,9,8.0,123.0,17.0,1.0,0.0,0.0,118.0,1.0,2.0,26.0,20.5,104.23,15.0,15.0,270.0,30.0,3.0,1.0,0.0,327.0,1.0,2.0,50.0,20.76,82.56
85,928057,2023-05-14 09:45:00,29,0,318,2.0,1,1,1,0,0,0,1,9,16,0.0,0.0,9742.0,5,25,46,38.0,696.0,59.0,10.0,3.0,3.0,0.0,889.0,3.0,4.0,83.0,20.47,78.29,1,1.0,6,False,26.69041095890411,6,5.0,102.0,11.0,1.0,1.0,0.0,107.0,0.0,1.0,50.0,25.5,95.32,8,6.0,100.0,10.0,1.0,1.0,0.0,119.0,1.0,1.0,50.0,20.0,84.03,15.0,15.0,270.0,30.0,3.0,1.0,0.0,327.0,1.0,2.0,50.0,20.76,82.56
88,417381,2023-09-23 10:00:00,29,1,34,2.0,1,0,1,0,0,0,1,2,6,0.0,0.0,11103.0,7,1,83,56.0,826.0,78.0,13.0,2.0,2.0,0.0,1175.0,3.0,12.0,79.0,18.77,70.29,1,0.0,6,False,30.41917808219178,4,3.0,68.0,5.0,1.0,0.0,0.0,84.0,0.0,0.0,40.0,22.66,80.95,7,4.0,72.0,5.0,1.0,0.0,0.0,94.0,0.0,0.0,40.0,18.0,76.59,3.0,3.0,17.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,12.0,5.66,43.58
89,417381,2023-06-30 07:00:00,29,0,1904,2.0,1,1,1,0,0,0,1,2,6,0.0,0.0,11018.0,1,11,83,56.0,826.0,78.0,13.0,2.0,2.0,0.0,1175.0,3.0,12.0,79.0,18.77,70.29,9,1.0,6,False,30.186301369863013,1,1.0,35.0,1.0,1.0,0.0,0.0,53.0,0.0,0.0,35.0,35.0,66.03,17,14.0,225.0,22.0,4.0,0.0,0.0,290.0,0.0,7.0,35.0,32.14,77.58,6.0,6.0,145.0,18.0,2.0,0.0,0.0,203.0,0.0,0.0,35.0,24.16,71.42
90,417381,2023-03-18 08:00:00,29,25,1564,2.0,2,0,1,0,0,0,1,2,6,0.0,0.0,10914.0,9,25,83,56.0,826.0,78.0,13.0,2.0,2.0,0.0,1175.0,3.0,12.0,79.0,18.77,70.29,25,0.0,6,False,29.9013698630137,6,3.0,5.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,4.0,1.66,27.77,3,2.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.5,12.5,15.0,15.0,159.0,8.0,3.0,0.0,0.0,215.0,2.0,2.0,40.0,12.23,73.95
