,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,days_extended,actual_days,position_id,style_id,current_age_in_days,batting_order,opponent_team_id,mt,inns,rn,fo,si,ft,hn,bf,dk,times_not_out,hs,bta,btsr,team1_id,team2_id,is_home,followon,current_age,rain_rule,country_id,opposition_mt,opposition_inns,opposition_rn,opposition_fo,opposition_si,opposition_ft,opposition_hn,opposition_bf,opposition_dk,opposition_times_not_out,opposition_hs,opposition_bta,opposition_btsr,host_mt,host_inns,host_rn,host_fo,host_si,host_ft,host_hn,host_bf,host_dk,host_times_not_out,host_hs,host_bta,host_btsr,batting_positionval1_mt,batting_positionval1_inns,batting_positionval1_rn,batting_positionval1_fo,batting_positionval1_si,batting_positionval1_ft,batting_positionval1_hn,batting_positionval1_bf,batting_positionval1_dk,batting_positionval1_times_not_out,batting_positionval1_hs,batting_positionval1_bta,batting_positionval1_btsr,target_id
17,8917,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,4,6,13335,3,4,135,109,2301,197,77,6,3,2335,6,15,128,24.47,98.54,4,1,FALSE,0,36.53424658,0,4,16,11,317,23,11,1,1,284,1,3,102,39.62,111.61,11,9,167,10,1,1,0,202,1,2,55,23.85,82.67,1,1,9,2,0,0,0,8,0,0,9,9,112.5,1
18,1039481,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,1,16,9467,4,4,4,2,37,7,0,0,0,24,0,0,35,18.5,154.16,4,1,FALSE,0,25.9369863,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,911707,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,3,16,9068,5,4,10,10,251,26,7,2,0,272,1,0,80,25.1,92.27,4,1,FALSE,0,24.84383562,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,37,5,1,0,0,40,0,0,20,18.5,92.5,1
20,662973,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,0,6,9332,6,4,29,22,418,25,19,1,0,441,1,3,95,22,94.78,4,1,FALSE,0,25.56712329,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21,521637,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,7,6,10657,7,4,8,8,301,29,4,2,1,321,2,1,107,43,93.76,4,1,FALSE,0,29.19726027,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,897549,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,4,16,9161,8,4,4,4,160,13,8,1,0,144,0,0,94,40,111.11,4,1,FALSE,0,25.09863014,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
23,459257,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,1,16,11453,10,4,0,,,,,,,,,,,,,4,1,FALSE,0,31.37808219,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,244497,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,1,16,13091,11,4,132,65,805,79,11,1,0,822,6,21,69,18.29,97.93,4,1,FALSE,0,35.86575342,0,4,14,4,33,5,1,0,0,31,1,1,15,11,106.45,8,3,24,3,1,0,0,28,1,0,15,8,85.71,3,3,14,2,0,0,0,15,0,3,9,,93.33,1
25,669365,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,9,16,9976,12,4,16,14,549,80,8,3,1,415,0,0,122,39.21,132.28,4,1,FALSE,0,27.33150685,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
26,461632,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,1,16,10895,13,4,29,14,35,3,1,0,0,70,1,11,15,11.66,50,4,1,FALSE,0,29.84931507,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,247235,12/21/23 20:00,1,0,2041,3,2,0,1,0,1,0,16,12712,15,4,119,85,1437,108,19,5,0,1628,8,23,95,23.17,88.26,4,1,FALSE,0,34.82739726,0,4,12,6,155,11,3,1,0,189,1,2,68,38.75,82.01,7,4,81,6,2,1,0,101,1,2,68,40.5,80.19,,,,,,,,,,,,,,1
